tp_id,player_name
543,Stefan Ortega
544,Scott Carson
567,Gabriel Slonina
568,Marcus Bettinelli
580,N
588,Mykhaylo Mudryk
598,Caoimhín Kelleher
599,Adrián
605,Rhys Williams
609,Calvin Ramsay
612,Thiago
615,Arthur Melo
617,Alex Oxlade-Chamberlain
628,Matt Turner
631,Jakub Kiwior
647,Reiss Nelson
651,Jack Butland
652,Tom Heaton
657,Phil Jones
658,Teden Mengi
661,Brandon Williams
670,Zidane Iqbal
683,Alfie Whiteman
684,Brandon Austin
697,Pape Matar Sarr
700,Heung-min Son
708,Loris Karius
709,Mark Gillespie
716,Paul Dummett
720,Harrison Ashby
724,Matty Longstaff
759,Alex Smithies
764,Jannik Vestergaard
767,Luke Thomas
768,Ryan Bertrand
786,Jed Steer
787,Viljami Sinisalo
808,Daniel Bentley
809,Louie Moulden
810,Max Kilman
813,Toti
815,Jonny Otto
821,Joe Hodge
826,Chiquinho
832,Hee-chan Hwang
837,Willy Caballero
844,Juan Larios
846,Tino Livramento
851,Carlos Alcaraz
859,Samuel Edozie
867,Andy Lonergan
874,Vitaliy Mykolenko
886,Andros Townsend
900,Omar Richards
905,Danilo
912,Harry Arter
918,Alex Mighten
924,Lyle Taylor
925,Sam Johnstone
927,Joe Whitworth
931,Nathan Ferguson
952,Tom McGill
962,Jakub Moder
965,Yasin Ayari
976,Thomas Strakosha
1000,Kristoffer Klaesson
1001,Joel Robles
1009,Stuart Dallas
1044,Daniel James
1049,Darren Randolph
1050,Ilya Zabarnyi
1056,Jordan Zemura
1065,Hamed Junior Traorè
